Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,42,4,CDU/CSU,Grundmann,Oliver,,0,1,0,0,0,Oliver Grundmann
18,42,4,CDU/CSU,Grütters,Monika,,0,1,0,0,0,Monika Grütters
18,42,4,CDU/CSU,Gundelach,Herlind,,0,1,0,0,0,Dr. Herlind Gundelach
18,42,4,CDU/CSU,Güntzler,Fritz,,0,1,0,0,0,Fritz Güntzler
18,42,4,CDU/CSU,Gutting,Olav,,0,1,0,0,0,Olav Gutting
18,42,4,CDU/CSU,Haase,Christian,,0,1,0,0,0,Christian Haase
18,42,4,CDU/CSU,Hahn,Florian,,0,1,0,0,0,Florian Hahn
18,42,4,CDU/CSU,Harbarth,Stephan,,0,1,0,0,0,Dr. Stephan Harbarth
18,42,4,CDU/CSU,Hardt,Jürgen,,0,1,0,0,0,Jürgen Hardt
18,42,4,CDU/CSU,Hasselfeldt,Gerda,,0,1,0,0,0,Gerda Hasselfeldt
18,42,4,CDU/CSU,Hauer,Matthias,,0,1,0,0,0,Matthias Hauer
18,42,4,CDU/CSU,Hauptmann,Mark,,0,1,0,0,0,Mark Hauptmann
18,42,4,CDU/CSU,Heck,Stefan,,0,1,0,0,0,Dr. Stefan Heck
18,42,4,CDU/CSU,Heider,Matthias,,0,1,0,0,0,Dr. Matthias Heider
18,42,4,CDU/CSU,Heiderich,Helmut,,0,1,0,0,0,Helmut Heiderich
18,42,4,CDU/CSU,Heil,Mechthild,,0,1,0,0,0,Mechthild Heil
18,42,4,CDU/CSU,Heinrich (Chemnitz),Frank,,0,1,0,0,0,Frank Heinrich (Chemnitz)
18,42,4,CDU/CSU,Helfrich,Mark,,0,1,0,0,0,Mark Helfrich
18,42,4,CDU/CSU,Heller,Uda,,0,1,0,0,0,Uda Heller
18,42,4,CDU/CSU,Hellmuth,Jörg,,0,1,0,0,0,Jörg Hellmuth
18,42,4,CDU/CSU,Henke,Rudolf,,0,1,0,0,0,Rudolf Henke
18,42,4,CDU/CSU,Hennrich,Michael,,0,1,0,0,0,Michael Hennrich
18,42,4,CDU/CSU,Heveling,Ansgar,,0,1,0,0,0,Ansgar Heveling
18,42,4,CDU/CSU,Hintze,Peter,,0,1,0,0,0,Peter Hintze
18,42,4,CDU/CSU,Hirte,Christian,,0,1,0,0,0,Christian Hirte
18,42,4,CDU/CSU,Hirte,Heribert,,0,1,0,0,0,Dr. Heribert Hirte
18,42,4,CDU/CSU,Hochbaum,Robert,,0,1,0,0,0,Robert Hochbaum
18,42,4,CDU/CSU,Hoffmann,Alexander,,0,1,0,0,0,Alexander Hoffmann
18,42,4,CDU/CSU,Holmeier,Karl,,0,1,0,0,0,Karl Holmeier
18,42,4,CDU/CSU,Holzenkamp,Franz-Josef,,0,1,0,0,0,Franz-Josef Holzenkamp
18,42,4,CDU/CSU,Hoppenstedt,Hendrik,,0,1,0,0,0,Dr. Hendrik Hoppenstedt
18,42,4,CDU/CSU,Horb,Margaret,,0,1,0,0,0,Margaret Horb
18,42,4,CDU/CSU,Hornhues,Bettina,,0,1,0,0,0,Bettina Hornhues
18,42,4,CDU/CSU,Huber,Charles M.,,0,1,0,0,0,Charles M. Huber
18,42,4,CDU/CSU,Hübinger,Anette,,0,1,0,0,0,Anette Hübinger
18,42,4,CDU/CSU,Hüppe,Hubert,,0,1,0,0,0,Hubert Hüppe
18,42,4,CDU/CSU,Irlstorfer,Erich,,0,1,0,0,0,Erich Irlstorfer
18,42,4,CDU/CSU,Jarzombek,Thomas,,0,1,0,0,0,Thomas Jarzombek
18,42,4,CDU/CSU,Jörrißen,Sylvia,,0,1,0,0,0,Sylvia Jörrißen
18,42,4,CDU/CSU,Jung,Andreas,,0,1,0,0,0,Andreas Jung
18,42,4,CDU/CSU,Jung,Franz Josef,,0,1,0,0,0,Dr. Franz Josef Jung
18,42,4,CDU/CSU,Jung,Xaver,,0,1,0,0,0,Xaver Jung
18,42,4,CDU/CSU,Jüttner,Egon,,0,1,0,0,0,Dr. Egon Jüttner
18,42,4,CDU/CSU,Kalb,Bartholomäus,,0,1,0,0,0,Bartholomäus Kalb
18,42,4,CDU/CSU,Kammer,Hans-Werner,,0,1,0,0,0,Hans-Werner Kammer
18,42,4,CDU/CSU,Kampeter,Steffen,,0,1,0,0,0,Steffen Kampeter
18,42,4,CDU/CSU,Kanitz,Steffen,,0,1,0,0,0,Steffen Kanitz
18,42,4,CDU/CSU,Karl,Alois,,0,1,0,0,0,Alois Karl
18,42,4,CDU/CSU,Karliczek,Anja,,0,1,0,0,0,Anja Karliczek
18,42,4,CDU/CSU,Kaster,Bernhard,,0,0,0,0,1,Bernhard Kaster
18,42,4,CDU/CSU,Kauder,Volker,,0,1,0,0,0,Volker Kauder
18,42,4,CDU/CSU,Kaufmann,Stefan,,0,1,0,0,0,Dr. Stefan Kaufmann
18,42,4,CDU/CSU,Kiesewetter,Roderich,,0,1,0,0,0,Roderich Kiesewetter
18,42,4,CDU/CSU,Kippels,Georg,,0,1,0,0,0,Dr. Georg Kippels
18,42,4,CDU/CSU,Klein,Volkmar,,0,1,0,0,0,Volkmar Klein
18,42,4,CDU/CSU,Klimke,Jürgen,,0,1,0,0,0,Jürgen Klimke
18,42,4,CDU/CSU,Knoerig,Axel,,0,1,0,0,0,Axel Knoerig
18,42,4,CDU/CSU,Koeppen,Jens,,0,1,0,0,0,Jens Koeppen
18,42,4,CDU/CSU,Koob,Markus,,0,1,0,0,0,Markus Koob
18,42,4,CDU/CSU,Körber,Carsten,,0,1,0,0,0,Carsten Körber
18,42,4,CDU/CSU,Koschyk,Hartmut,,0,1,0,0,0,Hartmut Koschyk
18,42,4,CDU/CSU,Kovac,Kordula,,0,1,0,0,0,Kordula Kovac
18,42,4,CDU/CSU,Kretschmer,Michael,,0,1,0,0,0,Michael Kretschmer
18,42,4,CDU/CSU,Krichbaum,Gunther,,0,1,0,0,0,Gunther Krichbaum
18,42,4,CDU/CSU,Krings,Günter,,0,0,0,0,1,Dr. Günter Krings
18,42,4,CDU/CSU,Kruse,Rüdiger,,0,1,0,0,0,Rüdiger Kruse
18,42,4,CDU/CSU,Kudla,Bettina,,0,1,0,0,0,Bettina Kudla
18,42,4,CDU/CSU,Kühne,Roy,,0,1,0,0,0,Dr. Roy Kühne
18,42,4,CDU/CSU,Lach,Günter,,0,1,0,0,0,Günter Lach
18,42,4,CDU/CSU,Lagosky,Uwe,,0,1,0,0,0,Uwe Lagosky
18,42,4,CDU/CSU,Lamers,Karl A.,,0,1,0,0,0,Dr. Karl A. Lamers
18,42,4,CDU/CSU,Lämmel,Andreas G.,,0,1,0,0,0,Andreas G. Lämmel
18,42,4,CDU/CSU,Lammert,Norbert,,0,1,0,0,0,Dr. Norbert Lammert
18,42,4,CDU/CSU,Landgraf,Katharina,,0,1,0,0,0,Katharina Landgraf
18,42,4,CDU/CSU,Lange,Ulrich,,0,1,0,0,0,Ulrich Lange
18,42,4,CDU/CSU,Lanzinger,Barbara,,0,1,0,0,0,Barbara Lanzinger
18,42,4,CDU/CSU,Launert,Silke,,0,1,0,0,0,Dr. Silke Launert
18,42,4,CDU/CSU,Lehrieder,Paul,,0,1,0,0,0,Paul Lehrieder
18,42,4,CDU/CSU,Leikert,Katja,,0,1,0,0,0,Dr. Katja Leikert
18,42,4,CDU/CSU,Lengsfeld,Philipp,,0,1,0,0,0,Dr. Philipp Lengsfeld
18,42,4,CDU/CSU,Lenz,Andreas,,0,1,0,0,0,Dr. Andreas Lenz
18,42,4,CDU/CSU,Lerchenfeld,Philipp,Graf,0,0,0,0,1,Philipp Graf Lerchenfeld
18,42,4,CDU/CSU,Leyen,Ursula,von der,0,1,0,0,0,Dr. Ursula von der Leyen
18,42,4,CDU/CSU,Lezius,Antje,,0,1,0,0,0,Antje Lezius
18,42,4,CDU/CSU,Liebing,Ingbert,,0,1,0,0,0,Ingbert Liebing
18,42,4,CDU/CSU,Lietz,Matthias,,0,1,0,0,0,Matthias Lietz
18,42,4,CDU/CSU,Lindholz,Andrea,,0,1,0,0,0,Andrea Lindholz
18,42,4,CDU/CSU,Linnemann,Carsten,,0,1,0,0,0,Dr. Carsten Linnemann
18,42,4,CDU/CSU,Lips,Patricia,,0,1,0,0,0,Patricia Lips
18,42,4,CDU/CSU,Lorenz,Wilfried,,0,1,0,0,0,Wilfried Lorenz
18,42,4,CDU/CSU,Lücking-Michel,Claudia,,0,1,0,0,0,Dr. Claudia Lücking-Michel
18,42,4,CDU/CSU,Luczak,Jan-Marco,,0,1,0,0,0,Dr. Jan-Marco Luczak
18,42,4,CDU/CSU,Ludwig,Daniela,,0,1,0,0,0,Daniela Ludwig
18,42,4,CDU/CSU,Maag,Karin,,0,0,0,0,1,Karin Maag
18,42,4,CDU/CSU,Magwas,Yvonne,,0,1,0,0,0,Yvonne Magwas
18,42,4,CDU/CSU,Mahlberg,Thomas,,0,1,0,0,0,Thomas Mahlberg
18,42,4,CDU/CSU,Maizière,Thomas,de,0,0,0,0,1,Dr. Thomas de Maizière
18,42,4,CDU/CSU,Manderla,Gisela,,0,1,0,0,0,Gisela Manderla
18,42,4,CDU/CSU,Marschall,Matern,von,0,1,0,0,0,Matern von Marschall
