ABSTIMMUNG	cdu/csu	spd	die.linke	gruenen	fraktionslos	file
018-183-02	1.0	0.994565217391	0.0	0.0	0	20160707_2_xls-data.csv
018-183-03	1.0	0.994594594595	0.0	0.0	0	20160707_3_xls-data.csv
018-183-04	1.0	0.977011494253	0.0	0.0	0	20160707_4_xls-data.csv
018-184-01	0.982206405694	0.982456140351	0.0	0.0	0	20160708_1_xls-data.csv
018-190-01	0.0	0.0	1.0	0.0	0	20160922_1_xls-data.csv
018-190-03	0.00350877192982	0.0	1.0	1.0	0	20160922_3_xls-data.csv
018-190-04	1.0	0.964912280702	0.0	0.016393442623	0	20160922_2_xls-data.csv
018-193-01	1.0	1.0	0.0	0.0	0	20160929_1_xls-data.csv
018-193-02	1.0	1.0	0.0	0	0	20160929_2_xls-data.csv
018-193-03	1.0	0.934911242604	0.0	0.0	0	20160929_3_xls-data.csv
018-198-01	0.219931271478	0.539772727273	0.76	0.98275862069	0	20161109_1_xls-data.csv
018-198-02	0.0102040816327	0.281609195402	0.333333333333	0.0	0	20161109_2_xls-data.csv
018-198-03	0.81724137931	0.445086705202	0.313725490196	0.0	0	20161109_3_xls-data.csv
018-199-01	1.0	1.0	0.0	0.0	0	20161110_1_xls-data.csv
018-199-02	0.993127147766	0.852459016393	0.0	0.0	0	20161110_2_xls-data.csv
018-200-01	0.923913043478	0.595375722543	0.0	0.0	0	20161111_1_xls-data.csv
018-202-01	1.0	1.0	0.0	0.0	0	20161123_1_xls-data.csv
018-204-01	1.0	1.0	0.0	0.0	0	20161125_1_xls-data.csv
018-206-01	1.0	1.0	0.0	0.0	0	20161201_1_xls-data.csv
018-206-02	1.0	1.0	0	0	0	20161201_2_xls-data.csv
018-209-01	0.992957746479	1.0	0.0	0.981132075472	0	20161215_1_xls-data.csv
018-209-02	1.0	0.994565217391	0.0	1.0	0	20161215_2_xls-data.csv
018-209-03	1.0	0.994505494505	0.0	1.0	0	20161215_3_xls-data.csv
018-209-04	1.0	0.911602209945	0.0	0.369565217391	0	20161215_4_xls-data.csv
018-209-05	1.0	1.0	0	1.0	0	20161215_5_xls-data.csv
018-212-01	1.0	1.0	0.0	0.0	0	20170119_1_xls-data.csv
018-212-02	1.0	1.0	0.0	0.981818181818	0	20170119_2_xls-data.csv
018-212-03	1.0	1.0	0.0	0.0	0	20170119_3_xls-data.csv
018-215-01	1.0	0.961325966851	0.0	0.981481481481	1.0	20170126_1_xls-data.csv
018-215-02	1.0	0.933333333333	0.0	0.181818181818	1.0	20170126_2_xls-data.csv
018-221-01	0.0	0.0	1.0	1.0	0.0	20170309_1_xls-data.csv
018-221-02	1.0	1.0	0.0	0	1.0	20170309_2_xls-data.csv
018-221-03	0.0	0.0	1.0	1.0	0.0	20170309_3_xls-data.csv
018-221-04	0.0	0.0	1.0	1.0	0.0	20170309_4_xls-data.csv
018-226-01	0.973684210526	0.846625766871	0.0	0.0	0	20170324_1_xls-data.csv
018-226-02	0.985185185185	0.885350318471	0.0	0.0	0	20170324_2_xls-data.csv
018-228-01	0.0	0.0	1.0	1.0	0	20170330_1_xls-data.csv
018-228-02	0.0	0.0	1.0	1.0	0	20170330_2_xls-data.csv
018-228-03	1.0	0.970760233918	0.0	0.0	0	20170330_3_xls-data.csv
